,title,final_size,ABV,IBU,OG,FG,color,views,brewed,rating,boil_size,boil_time,boil_grav,pitch_rate,temp_prim,efficiency,mash_thick,reviews,calories,carbs,mash_ph,has_prim_data,has_mash_ph,has_mash_thick,has_pitch_rate,method_AllGrain,method_BIAB,method_Extract,method_PartialMash,d_G_abs,d_G_pct,d_size_abs,d_size_pct,style_under_threshold,style_AmericanAmberAle,style_AmericanBrownAle,style_AmericanIPA,style_AmericanLightLager,style_AmericanPaleAle,style_AmericanStout,style_BlondeAle,style_CreamAle,style_ImperialIPA,style_IrishRedAle,style_Kölsch,style_OatmealStout,style_RobustPorter,style_RussianImperialStout,style_Saison,style_SpecialtyIPA:NewEnglandIPA,style_SweetStout,style_Weissbier,style_Weizen/Weissbier,style_Witbier,beer_style
18,Chocolate Vanilla Porter,22.712470703999998,5.77,31.63,1.06,1.016,34.76,180921,44,4.0,30.283294272,75,1.042,,,73,,1,199,21,,1,0,0,0,1,0,0,0,0.04400000000000004,0.04150943396226418,7.570823568000002,0.25000000000000006,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RobustPorter
19,IPA - Tired Hands Milkshake,24.605176596,6.01,55.83,1.0659999999999998,1.02,4.51,53551,40,5.0,28.39058838,60,1.057,0.5,18.333333333333332,80,,3,220,25,4.65,0,1,0,1,0,1,0,0,0.04599999999999982,0.04315196998123811,3.785411784000001,0.13333333333333336,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
20,NEIPA Hoppy ( juicy) -  Braumeister 20L,21.0,6.85,49.46,1.068,1.015,4.86,68906,39,5.0,25.0,70,1.054,0.75,20.0,73,,5,225,22,5.66,0,1,0,1,0,1,0,0,0.05300000000000016,0.04962546816479415,4.0,0.16,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
21,Spotted Clown (New Glarus Spotted Cow clone),20.819764812,5.36,19.97,1.054,1.014,5.94,180269,35,4.75,28.39058838,75,1.04,,,70,1.4,4,178,19,,1,0,1,0,1,0,0,0,0.040000000000000036,0.037950664136622424,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,CreamAle
22,Bakke Brygg Kölsch 25 L,25.0,4.86,23.49,1.047,1.01,3.45,19587,34,5.0,29.0,90,1.04,1.25,16.0,78,,5,154,15,5.79,1,1,0,1,1,0,0,0,0.03699999999999992,0.035339063992359046,4.0,0.13793103448275862,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Kölsch
23,Brewdog Punk IPA clone,46.0,5.7,40.7,1.0543020798408094,1.0108876906349054,4.82,34214,32,5.0,54.0,60,1.0462804285673983,1.0,19.0,75,3.3,2,178,17,5.63,1,1,1,1,1,0,0,0,0.043414389205904014,0.04117832074509349,8.0,0.14814814814814814,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
24,Citra SMaSH,18.92705892,6.12,38.79,1.065,1.018,3.99,12312,32,5.0,22.712470703999998,60,,,16.666666666666668,75,,1,216,24,,0,0,0,0,1,0,0,0,0.04699999999999993,0.04413145539906097,3.7854117839999972,0.16666666666666657,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
25,Easy Blonde Ale,20.819764812,4.48,19.68,1.045,1.011,4.15,26958,31,4.66,28.39058838,60,1.033,2.0,17.77777777777778,75,1.5,6,148,15,,0,0,1,1,1,0,0,0,0.03400000000000003,0.03253588516746415,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BlondeAle
26,Ballast Point Sculpin Ale Clone,45.424941407999995,8.43,79.28,1.084,1.02,6.26,48838,30,5.0,51.103059084,60,1.075,1.0,20.555555555555557,90,1.25,1,279,28,,0,0,1,1,1,0,0,0,0.06400000000000006,0.059040590405904106,5.6781176760000065,0.11111111111111123,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,ImperialIPA
27,Blue Moon Belgian White,41.639529624,5.17,12.91,1.052,1.013,3.87,16346,29,0.0,56.78117676,90,1.038,,,65,1.5,0,172,18,,0,0,1,0,1,0,0,0,0.039000000000000146,0.03707224334600774,15.141647136000003,0.2666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Witbier
28,Bakke Brygg HveteIPA 25 L,25.0,6.76,64.26,1.064,1.013,7.78,148376,29,4.33,29.0,90,1.055,1.0,18.0,74,,3,211,20,5.65,1,1,0,1,1,0,0,0,0.051000000000000156,0.04793233082706781,4.0,0.13793103448275862,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
29,Roche Four LODO,15.0,5.14,20.7,1.052,1.013,18.86,4964,28,0.0,17.0,60,1.042,0.5,18.0,72,5.5,0,172,18,,0,0,1,1,1,0,0,0,0.039000000000000146,0.03707224334600774,2.0,0.11764705882352941,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,TrappistSingle
30,White IPA,37.85411784,6.2,64.67,1.064,1.0170000000000001,3.91,151606,28,5.0,34.068706055999996,60,1.071,,,70,1.2,1,213,23,,0,0,1,0,1,0,0,0,0.04699999999999993,0.044172932330827,-3.7854117840000043,-0.11111111111111124,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
31,Bakke Brygg Belgisk Blond 50 L,50.0,6.52,18.54,1.062,1.012,4.35,169702,27,3.75,58.0,90,1.047,1.0,18.0,77,,4,204,19,,1,0,0,1,1,0,0,0,0.050000000000000044,0.047080979284369155,8.0,0.13793103448275862,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianBlondAle
32,Sierra Nevada Pale Ale Clone,18.92705892,5.57,43.02,1.056,1.013,10.33,17014,27,5.0,11.356235351999999,60,,,,75,,1,185,18,,0,0,0,0,0,0,1,0,0.04300000000000015,0.04071969696969711,-7.570823568000002,-0.6666666666666669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
33,Sam Adams Rebel IPA Clone,18.92705892,6.51,60.96,1.0659999999999998,1.0170000000000001,10.54,148618,25,4.0,11.356235351999999,60,1.11,0.35,18.333333333333332,30,,2,219,23,,0,0,0,1,0,0,1,0,0.04899999999999971,0.045966228893057896,-7.570823568000002,-0.6666666666666669,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
34,Bud Light Clone,18.92705892,4.38,16.34,1.04,1.0070000000000001,2.1,21369,25,5.0,5.678117675999999,60,1.1340000000000001,0.35,18.333333333333332,50,,1,130,11,5.78,0,1,0,1,0,0,1,0,0.03299999999999992,0.03173076923076915,-13.248941244000001,-2.333333333333334,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,LightAmericanLager
35,New Glarus Fat Squirrel Clone,20.819764812,4.61,13.64,1.046,1.01,12.56,147018,25,0.0,28.39058838,90,1.033,,16.666666666666668,70,,0,150,15,,1,0,0,0,1,0,0,0,0.03600000000000003,0.03441682600382412,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NorthernEnglishBrown
36,MZZ Porter,18.0,5.93,36.58,1.057,1.012,34.87,3809,23,0.0,32.1,90,1.032,0.5,26.0,60,2.0869999999999997,0,187,18,,1,0,1,1,1,0,0,0,0.04499999999999993,0.04257332071901602,14.100000000000001,0.4392523364485982,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,RobustPorter
37,Bill's Double Chocolate Milk Stout,20.819764812,5.87,37.61,1.0659999999999998,1.021,41.27,35823,23,5.0,24.605176596,60,1.056,0.5,,65,1.25,1,220,26,,0,0,1,1,1,0,0,0,0.04499999999999993,0.04221388367729825,3.785411784000001,0.15384615384615388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,SweetStout
38,Lagunitas IPA Clone,20.819764812,6.17,56.65,1.061,1.014,5.85,46279,23,5.0,28.39058838,60,1.045,,,75,,1,202,20,,0,0,0,0,1,0,0,0,0.04699999999999993,0.04429783223374169,7.570823568000002,0.2666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,EnglishIPA
39,Sierra Nevada Pale Ale Clone,20.819764812,8.97,85.55,1.089,1.021,3.81,95,22,0.0,18.92705892,70,1.0979999999999999,1.0,,79,,0,296,29,,0,0,0,1,1,0,0,0,0.06800000000000006,0.06244260789715341,-1.8927058919999986,-0.09999999999999992,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
40,Hazy Juicy IPA,22.712470703999998,6.51,121.43,1.062,1.012,4.26,42928,22,5.0,26.497882488,60,1.053,,17.22222222222222,70,1.5,1,204,19,,0,0,1,0,1,0,0,0,0.050000000000000044,0.047080979284369155,3.785411784000001,0.1428571428571429,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
41,Blood Orange IPA Clone,19.873411865999998,6.47,56.62,1.064,1.015,8.23,24875,22,5.0,29.336941325999998,60,1.043,,21.11111111111111,70,1.35,1,212,21,,0,0,1,0,1,0,0,0,0.049000000000000155,0.04605263157894751,9.46352946,0.32258064516129037,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
42,Rochefort 10 clone,19.0,11.3,27.0,1.0959999999999999,1.01,20.93,17280,22,5.0,22.0,90,1.062,0.75,22.0,74,2.75,2,314,22,,0,0,1,1,1,0,0,0,0.08599999999999985,0.07846715328467141,3.0,0.13636363636363635,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianDarkStrongAle
43,west coast ipa,18.92705892,6.13,66.0,1.062,1.016,6.97,14815,22,5.0,22.712470703999998,60,1.052,,,51,,1,206,22,,0,0,0,0,0,0,0,1,0.04600000000000004,0.04331450094161962,3.7854117839999972,0.16666666666666657,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
45,Mango Blonde Ale v2.2,22.712470703999998,4.77,19.68,1.044,1.0070000000000001,3.73,18939,21,5.0,28.16346367296,90,1.035,0.35,16.666666666666668,75,,2,143,12,6.17,0,1,0,1,0,1,0,0,0.03699999999999992,0.03544061302681985,5.450992968960001,0.19354838709677424,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,BlondeAle
46,Smithwicks Clone,18.92705892,5.8,36.2,1.061,1.016,17.43,9265,21,4.0,11.356235351999999,60,1.101,,,45,,2,203,22,,0,0,0,0,0,0,1,0,0.04499999999999993,0.04241281809613565,-7.570823568000002,-0.6666666666666669,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IrishRedAle
47,Kentucky Bourbon Barrel Ale,18.92705892,8.62,20.79,1.099,1.033,37.22,11455,21,0.0,22.712470703999998,60,1.082,,20.0,70,1.25,0,336,40,,1,0,1,0,1,0,0,0,0.06600000000000006,0.06005459508644227,3.7854117839999972,0.16666666666666657,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Wood-AgedBeer
48,NEIPA | Tired Hands Milkshake (approximation) Braumeister 20L,21.0,6.42,63.89,1.0659999999999998,1.0170000000000001,6.22,16194,20,5.0,25.0,70,1.05,1.0,18.0,72,,3,219,23,,0,0,0,1,0,1,0,0,0.04899999999999971,0.045966228893057896,4.0,0.16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,DoubleIPA
49,Russian Imperial Stout,20.819764812,9.58,98.84,1.097,1.024,50.0,10126,20,5.0,28.39058838,60,1.071,,,70,1.5,1,324,33,,0,0,1,0,1,0,0,0,0.07299999999999995,0.06654512306289878,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,RussianImperialStout
50,Raging Red Irish Red Ale,20.819764812,6.13,34.36,1.055,1.0090000000000001,15.23,17101,20,5.0,28.39058838,60,1.035,1.0,16.666666666666668,72,1.75,4,180,15,5.2,0,1,1,1,1,0,0,0,0.04599999999999982,0.04360189573459699,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IrishRedAle
51,Talus A Trippel like... BIPA,52.995764976,8.59,71.69,1.075,1.0090000000000001,6.78,8806,20,0.0,52.995764976,90,1.075,1.25,26.666666666666668,77,,0,245,18,,0,0,0,1,1,0,0,0,0.06599999999999984,0.06139534883720915,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BelgianGoldenStrongAle
52,Sam Adams Octoberfest Clone,18.92705892,6.65,28.62,1.072,1.021,40.98,11361,19,3.33,28.39058838,60,1.048,0.35,20.0,70,1.5,3,240,27,,0,0,1,1,1,0,0,0,0.051000000000000156,0.047574626865671786,9.46352946,0.3333333333333333,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Oktoberfest/Märzen
53,BC Irish Red,20.0,5.03,14.92,1.0490000000000002,1.011,20.24,8876,18,5.0,9.0,75,1.109,,21.0,50,,1,162,16,,0,0,0,0,0,0,0,1,0.038000000000000256,0.036224976167779074,-11.0,-1.2222222222222223,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,IrishRedAle
54,Hefeweizen,3.785411784,5.4,63.1,1.056,1.015,4.55,1323,17,0.0,10.523444759519998,60,1.02,0.75,21.11111111111111,72,,0,185,20,5.57,0,1,0,1,0,1,0,0,0.04100000000000015,0.038825757575757715,6.738032975519999,0.6402877697841726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Weissbier
55,Hefeweizen 1,19.873411865999998,5.45,11.78,1.056,1.015,4.61,4345,17,5.0,27.444235434,60,1.041,0.5,21.11111111111111,75,1.3,1,185,20,,0,0,1,1,1,0,0,0,0.04100000000000015,0.038825757575757715,7.570823568000002,0.2758620689655173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,Weissbier
56,Miller Lite Clone,20.819764812,4.41,14.69,1.04,1.0070000000000001,2.48,17735,17,0.0,30.661835450399998,90,1.0270000000000001,,,80,1.5,0,130,11,,0,0,1,0,1,0,0,0,0.03299999999999992,0.03173076923076915,9.8420706384,0.32098765432098764,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanLightLager
57,JUSTIN SIMPCOE IPA,19.873411865999998,5.62,121.67,1.053,1.01,5.57,2247,17,0.0,11.356235351999999,60,1.05,,,35,,0,174,16,5.6,0,1,0,0,0,0,1,0,0.04299999999999993,0.0408357075023741,-8.517176513999999,-0.75,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
58,Laundry Water,52.995764976,5.23,37.31,1.048,1.0090000000000001,4.39,797,17,0.0,60.1880473656,60,1.043,0.75,20.0,82,1.25,0,157,14,5.74,1,1,1,1,1,0,0,0,0.038999999999999924,0.03721374045801519,7.1922823896000025,0.11949685534591199,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanWheatorRyeBeer
59,Galaxy SMaSH,18.92705892,5.41,77.93,1.061,1.02,5.44,6007,17,4.0,28.39058838,60,1.041,,,75,,1,205,25,,0,0,0,0,1,0,0,0,0.040999999999999925,0.03864278982092359,9.46352946,0.3333333333333333,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
60,Pale Ale - Bee's Knees Haus Pale - 10 gal,37.85411784,5.06,33.49,1.0490000000000002,1.01,8.76,9757,17,0.0,41.639529624,60,1.044,0.75,18.333333333333332,85,1.25,0,161,15,,0,0,1,1,1,0,0,0,0.039000000000000146,0.037178265014299466,3.7854117839999972,0.09090909090909084,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
61,Bavarian Hefeweizen,19.873411865999998,4.45,12.35,1.044,1.011,3.65,14712,17,0.0,27.444235434,90,1.032,0.75,16.666666666666668,65,,0,145,15,,0,0,0,1,0,1,0,0,0.03300000000000014,0.031609195402298985,7.570823568000002,0.2758620689655173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Weizen/Weissbier
62,All Grain American Honey Wheat,18.92705892,5.97,28.02,1.06,1.014,3.76,13957,17,4.5,18.92705892,60,,,,70,,2,198,20,,0,0,0,0,1,0,0,0,0.04600000000000004,0.04339622641509438,0.0,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanWheatorRyeBeer
65,Chocolate Oatmeal Milk Stout,37.85411784,5.76,30.84,1.062,1.018,43.96,3705,16,0.0,49.210353192,60,1.048,0.5,21.11111111111111,80,1.5,0,206,23,5.49,0,1,1,1,1,0,0,0,0.04400000000000004,0.04143126177024486,11.356235351999999,0.23076923076923075,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanStout
66,Kronenbourg 1664 Blanc klone,23.0,5.36,18.92,1.052,1.011,3.26,20467,16,4.5,29.0,90,1.041,1.0,18.0,75,5.0,2,171,16,,1,0,1,1,1,0,0,0,0.04100000000000015,0.03897338403041839,6.0,0.20689655172413793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,Witbier
67,RYE IPA,20.819764812,8.02,82.7,1.073412957341545,1.0123134848364046,5.93,2040,16,0.0,28.39058838,60,1.0538675317948571,0.75,18.333333333333332,79,1.5,0,241,21,,0,0,1,1,1,0,0,0,0.06109947250514036,0.0569207517826705,7.570823568000002,0.2666666666666667,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
68,Tap Room American Brown,18.92705892,7.07,35.16,1.072,1.018,22.88,6355,16,5.0,24.605176596,60,1.055,,18.333333333333332,77,1.5,1,239,25,,0,0,1,0,1,0,0,0,0.05400000000000005,0.05037313432835825,5.678117675999999,0.23076923076923075,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanBrownAle
69,Tank 7 Clone,20.819764812,7.63,44.94,1.073,1.015,6.25,151096,16,5.0,28.39058838,60,1.054,,,70,,1,240,22,,1,0,0,0,0,1,0,0,0.05800000000000005,0.054054054054054106,7.570823568000002,0.2666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Saison
70,Heavenweizen,41.639529624,6.3,18.89,1.062,1.014,5.9,9347,16,5.0,45.424941407999995,60,1.056,0.5,22.22222222222222,80,1.2,1,205,20,,0,0,1,1,1,0,0,0,0.04800000000000004,0.045197740112994385,3.7854117839999972,0.08333333333333329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,Weizen/Weissbier
71,Rebel Grapefruit IPA Clone,20.819764812,6.67,67.45,1.065,1.014,8.86,11682,15,5.0,24.605176596,60,1.055,0.5,,65,1.5,2,214,21,5.67,0,1,1,1,1,0,0,0,0.050999999999999934,0.047887323943661915,3.785411784000001,0.15384615384615388,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
73,Founders All Day IPA Clone,18.92705892,5.55,45.2,1.052,1.01,8.14,20342,15,3.0,21.766117758,60,1.046,0.5,18.333333333333332,67,1.5,1,171,16,,0,0,1,1,1,0,0,0,0.04200000000000004,0.03992395437262361,2.8390588379999997,0.13043478260869565,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanPaleAle
74,Weg Farmhouse Ale,45.424941407999995,5.19,32.59,1.051,1.012,5.63,10932,15,5.0,52.995764976,60,1.044,0.75,21.11111111111111,65,,1,168,17,,0,0,0,1,1,0,0,0,0.038999999999999924,0.037107516650808685,7.570823568000002,0.1428571428571429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,Saison
75,Hop Notch Clone,15.141647136,6.62,111.0,1.0659999999999998,1.015,14.26,147440,15,0.0,11.356235351999999,90,,,,70,,0,218,21,,0,0,0,0,0,1,0,0,0.050999999999999934,0.047842401500938034,-3.785411784000001,-0.3333333333333334,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AmericanIPA
76,Pilsner Urquell BYO clone,41.639529624,4.92,36.8,1.051,1.013,3.61,148881,15,0.0,49.210353192,60,,,,75,,0,168,18,,0,0,0,0,1,0,0,0,0.038000000000000034,0.03615604186489062,7.570823568000002,0.15384615384615388,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,BohemianPilsener
